,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
0,cassava,0,0,-50,50.0,120931.22,1272.7,153909435.94,5046933.05
1,groundnuts,0,0,0,0.0,280429.75,585.71,164251345.72,9055931.84
2,maize,0,0,0,0.0,91315.33,1154.83,105453438.67,8386252.06
3,sesame,0,0,0,0.0,594088.15,337.02,200222523.03,19077540.6
4,sorghum,0,0,0,0.0,437189.56,1618.99,707806259.53,32787890.46
5,cassava,0,0,0,0.0,77754.58,1654.29,128628611.78,2586901.1
6,groundnuts,0,0,-50,50.0,370779.44,507.12,188028258.65,14930186.51
7,maize,0,0,0,0.0,86707.19,1188.15,103021197.4,7558109.74
8,sesame,0,0,0,0.0,566413.22,348.29,197277708.92,18284214.73
9,sorghum,0,0,0,0.0,422299.56,1659.86,700960126.76,30995135.91
10,cassava,0,0,0,0.0,88860.2,1438.23,127800981.4,2482757.16
11,groundnuts,0,0,0,0.0,293348.96,552.53,162083887.29,8530892.93
12,maize,0,0,-50,50.0,127274.2,970.47,123515187.88,19101432.18
13,sesame,0,0,0,0.0,601169.81,324.55,195110909.98,17159715.26
14,sorghum,0,0,0,0.0,413300.83,1666.45,688744199.92,27079750.48
15,cassava,0,0,0,0.0,64786.07,1903.28,123306117.44,2233825.58
16,groundnuts,0,0,0,0.0,233695.44,671.71,156975117.93,7778997.89
17,maize,0,0,0,0.0,68309.69,1348.61,92123277.0,4626747.31
18,sesame,0,0,-50,50.0,798403.65,301.72,240895289.26,36678676.88
19,sorghum,0,0,0,0.0,358759.15,1858.82,666867219.97,23036300.34
20,cassava,0,0,0,0.0,90314.98,1327.05,119852133.0,1929968.43
21,groundnuts,0,0,0,0.0,282792.47,540.58,152871365.35,6821036.21
22,maize,0,0,0,0.0,59637.79,1402.03,83613929.49,2869636.42
23,sesame,0,0,0,0.0,525548.28,333.67,175357427.32,11893251.54
24,sorghum,0,0,-50,50.0,565660.48,1346.84,761854321.11,50840655.4
25,cassava,0,0,-40,40.0,111079.81,1332.21,147981927.09,4350115.45
26,groundnuts,0,0,0,0.0,282121.86,582.95,164462749.57,9093874.66
27,maize,0,0,0,0.0,92179.38,1148.98,105912493.63,8555654.92
28,sesame,0,0,0,0.0,598733.53,335.27,200738399.51,19222157.13
29,sorghum,0,0,0,0.0,439839.42,1612.08,709056669.73,33132745.84
30,cassava,0,0,0,0.0,79266.02,1628.59,129092117.92,2618213.62
31,groundnuts,0,0,-40,40.0,350153.81,521.59,182635839.93,13391004.31
32,maize,0,0,0,0.0,88678.6,1173.82,104092731.35,7920294.48
33,sesame,0,0,0,0.0,577271.39,343.92,198533001.87,18629148.79
34,sorghum,0,0,0,0.0,428584.18,1642.6,703992990.3,31795886.8
35,cassava,0,0,0,0.0,87414.68,1469.69,128472157.77,2539176.17
36,groundnuts,0,0,0,0.0,291274.78,559.1,162850362.57,8700709.63
37,maize,0,0,-40,40.0,120805.55,997.94,120556479.6,16691148.53
38,sesame,0,0,0,0.0,603134.07,326.45,196892872.3,17760936.97
39,sorghum,0,0,0,0.0,421324.92,1648.58,694588913.35,28662576.69
40,cassava,0,0,0,0.0,68182.86,1835.29,125135431.66,2354798.58
41,groundnuts,0,0,0,0.0,243698.92,652.72,159067580.6,8147563.58
42,maize,0,0,0,0.0,73868.88,1294.88,95651342.37,5449614.04
43,sesame,0,0,-40,40.0,759510.66,307.58,233607049.8,32826052.02
44,sorghum,0,0,0,0.0,378692.68,1791.81,678544154.91,25576519.78
45,cassava,0,0,0,0.0,88290.02,1381.55,121977477.25,2069805.57
46,groundnuts,0,0,0,0.0,283277.85,548.52,155382232.34,7264234.11
47,maize,0,0,0,0.0,64244.65,1355.56,87087651.94,3410328.59
48,sesame,0,0,0,0.0,540761.0,333.69,180444707.3,13131935.74
49,sorghum,0,0,-40,40.0,547380.47,1380.13,755456044.47,48478244.0
50,cassava,0,0,-30,30.0,102817.38,1388.72,142784625.7,3801472.81
51,groundnuts,0,0,0,0.0,283592.95,580.52,164632750.26,9123928.31
52,maize,0,0,0,0.0,92873.01,1144.3,106274417.5,8689793.41
53,sesame,0,0,0,0.0,602683.53,333.76,201154384.95,19337184.62
54,sorghum,0,0,0,0.0,441987.14,1606.47,710039435.0,33402168.85
55,cassava,0,0,0,0.0,80688.17,1604.76,129485376.87,2644507.43
56,groundnuts,0,0,-30,30.0,331752.91,535.56,177672731.92,12084435.18
57,maize,0,0,0,0.0,90385.94,1161.67,104998936.34,8235691.8
58,sesame,0,0,0,0.0,587111.91,339.98,199603520.6,18921289.15
59,sorghum,0,0,0,0.0,434015.07,1627.87,706522198.46,32468624.44
60,cassava,0,0,0,0.0,86264.21,1496.27,129074797.6,2590581.91
61,groundnuts,0,0,0,0.0,289583.27,564.72,163533627.36,8854300.77
62,maize,0,0,-30,30.0,114016.86,1028.86,117307041.23,14382949.48
63,sesame,0,0,0,0.0,605195.75,328.0,198506775.2,18319492.87
64,sorghum,0,0,0,0.0,428893.91,1632.08,699990139.52,30207222.97
65,cassava,0,0,0,0.0,71929.78,1762.39,126768021.94,2463956.52
