"","run_ID","p","c1","c2","fertilizer subsidy (%)","land area (ha)","yield (kg/ha)","production (kg)","Nfert (kg/ha)","Nuse (kg)","cluster"
"1","9a7ca889-75d0-47e7-b249-7c82fc851f1a",-20,10,-10,10,27227.89,4156.83,113181669.61,67,1824339.08,0
"2","209b90a1-029a-4764-b0ee-9e75d83dd485",-10,10,-10,10,27227.89,4156.83,113181669.61,67,1824339.08,0
"3","2c698796-7048-4d9c-abff-fd44b3c304e4",-20,10,0,0,25680.85,4295.77,110319151,64.31,1651428.23,0
"4","024f1988-34f4-43bd-83b0-b7969cdddd66",-10,10,0,0,25680.85,4295.77,110319151,64.31,1651428.23,0
"5","32d6caf5-3f76-46aa-a31e-a9e564059a77",-20,10,10,-10,24317.73,4429.48,107714803.94,61.91,1505409.86,0
"6","5d740910-a5a8-41d8-b2e2-7f8fac378908",-10,10,10,-10,24317.73,4429.48,107714803.94,61.91,1505409.86,0
"7","b5bf5342-d166-4275-a371-8d8251aae3a9",-20,10,20,-20,23106.58,4558.47,105330588.23,59.75,1380679.5,0
"8","75d6942b-0dfb-4725-bc1a-51e1896c7371",-10,10,20,-20,23106.58,4558.47,105330588.23,59.75,1380679.5,0
"9","f4627b26-c0e1-4252-a8f2-d754093df457",-20,10,40,-40,21045.94,4804.06,101105977.48,56.04,1179375.57,0
"10","9f06468a-d4b0-4d5f-96ce-d15dc68243b8",-10,10,40,-40,21045.94,4804.06,101105977.48,56.04,1179375.57,0
"11","b4f62114-70e6-4b86-b857-289f056e8fd3",50,40,-50,50,34302.93,4139.44,141994923.36,149.02,5111724.34,0
"12","c5d109bf-9eba-4aee-9238-3a81316b43c4",50,40,-40,40,32073.7,4299.3,137894495.89,140.65,4511030.49,0
"13","5472d44a-4280-4ecf-86d0-d9fa83f6b6b4",50,40,-30,30,30151.47,4451.7,134225242.02,133.48,4024711.19,0
"14","3f27aec0-1c1a-49d8-843e-4f7f5dfda0b1",50,40,-20,20,28476.04,4597.42,130916238.43,127.28,3624307.05,0
"15","e4607fbc-b12f-441a-b7ef-bdf6f47777ff",-20,40,0,0,10780.11,9109.4,98200362.73,117.49,1266519.14,0
"16","fedddb31-a7aa-4639-8f40-751a1f9c8416",-10,40,0,0,10780.11,9109.4,98200362.73,117.49,1266519.14,0
"17","94fc0ee9-a8a0-45a5-b29c-a2cc11ea6d19",50,40,10,-10,24522.74,5001.07,122640031.9,112.72,2764302.65,0
"18","fd354558-fb73-46e6-ae99-4dadc396f8ad",50,50,-40,40,27026.26,4956.62,133958781.4,156.37,4226001.85,0
"19","80088f60-b16b-4e87-bf82-84f2ece5dd12",0,50,30,-30,10946.81,9005.72,98583966.17,117.24,1283446.13,0
"20","03131338-6d60-45c3-b1d2-b59ee4803e2e",-50,20,-50,50,35066.51,2411.27,84554781.57,396.56,13906038.12,0
"21","a6364c40-1d83-42ef-8667-400bff1e542e",-50,20,-40,40,32983.84,2490.67,82151816.76,319.95,10553303.9,0
"22","6c4c357f-f489-412b-8662-adfa0529ac37",-40,30,-50,50,36726.13,2336.14,85797259.18,386.47,14193669.06,0
"23","254f488a-6428-4500-9a8c-8eb509f616ae",-50,30,-40,40,27404.49,2834.01,77664706.78,371.65,10184887.88,0
"24","2af49302-3ac7-441f-9683-f5455499caf4",-40,30,-40,40,34694.96,2407.1,83514078.25,316.15,10968972.12,0
"25","a3fcad8a-4611-4210-a6dd-0e0afa8f0d92",-50,30,-30,30,25296.55,2953.47,74712536.78,280.25,7089321.98,0
"26","e728d496-3d10-4b80-bc4f-913c4a526607",-40,30,-30,30,32214.46,2501.02,80568888.07,250.62,8073647.47,0
"27","8f52d9f8-1c31-42b2-95b6-39d6fc33ddb2",-50,30,-20,20,23010.96,3098.98,71310411.16,212.46,4888937.41,0
"28","8e31b09c-9b55-47fa-bac0-e89067a714d5",-50,30,20,-20,16945.5,3612.81,61220859.55,112,1897894.85,0
"29","51dc46aa-09a7-4bfd-a86b-65d19dcd2058",-50,30,30,-30,16028.26,3714.57,59538032.39,102.27,1639181.86,0
"30","b66583ce-ba36-4344-b06d-8dafd0327ffe",-50,30,40,-40,15241.83,3808.97,58055643.26,94.62,1442246.63,0
"31","8e708206-53e7-4e2e-ba42-708cb353c1e2",-50,30,50,-50,14557.03,3897.28,56732867.66,88.43,1287293.12,0
"32","0217c182-a23f-4343-8abb-c68e629ee84d",-30,50,-50,50,32870.56,2524.41,82978630.47,431.62,14187539.45,0
"33","8497402a-8528-4021-ac3f-16528c3b3e9f",-20,50,-50,50,39068.78,2239.99,87513730.38,376.79,14720842.52,0
"34","9b38a360-a3ce-4f6c-9efe-4583859a676b",-40,50,-40,40,25520.47,2980.31,76059013.47,403.94,10308763.91,0
"35","3c8909e4-3077-4a49-9693-d4b5395f1399",-30,50,-40,40,31234.91,2592.61,80979920.04,352.09,10997427.39,0
